Text,Phonetic,Meaning,Example,DifficultyLevel
taxi,/ˈtæksi/,n. 出租车,We took a taxi to the airport.,1
taxpayer,/ˈtækspeɪə(r)/,n. 纳税人,Hundreds of thousands of pounds of taxpayers' money (= money paid in taxes) have been spent on the project.,4
tea,/tiː/,n. 茶,a packet of tea,1
teach,/tiːtʃ/,v. 教,She teaches at our local school.,1
teacher,/ˈtiːtʃə(r)/,n. 老师,an English/a science teacher,1
teaching,/ˈtiːtʃɪŋ/,n. 教学,She wants to go into teaching (= make it a career).,1
team,/tiːm/,n. 团队,a football/basketball/soccer team,1
tear,/teə(r)/,n. 撕,This sheet has a tear in it.,3
technical,/ˈteknɪkl/,adj. 技术的,We offer free technical support for those buying our software.,2
technique,/tekˈniːk/,n. 技术,management techniques,2
technological,/ˌteknəˈlɒdʒɪkl/,adj. 技术性的,technological advances,3
technology,/tekˈnɒlədʒi/,n. 技术,science and technology,1
teenage,/ˈtiːneɪdʒ/,adj. 十几岁的,a teenage girl/boy,1
teenager,/ˈtiːneɪdʒə(r)/,n. 青少年,a magazine aimed at teenagers,1
teens,/tiːnz/,n. 青少年,"in your teens, She began writing poetry in her teens.",3
telephone,/ˈtelɪfəʊn/,n. 电话,The telephone rang and Pat answered it.,1
television,/ˈtelɪvɪʒn/,n. 电视,a widescreen/flat-screen/plasma television,1
tell,/tel/,v. 告诉,"tell something to somebody, He told the news to everybody he saw.",1
temperature,/ˈtemprətʃə(r)/,n. 温度,high/low temperatures,1
temple,/ˈtempl/,n. 寺庙,the Temple of Diana at Ephesus,3
temporarily,/ˈtemprərəli/,adv. 暂时地,We regret this service is temporarily unavailable.,3
temporary,/ˈtemprəri/,adj. 暂时的,to hire temporary workers,3
tempt,/tempt/,v. 诱惑,"tempt somebody, I was tempted by the dessert menu.",4
ten,/ten/,num. 十,There are only ten of these rare animals left.,1
tenant,/ˈtenənt/,n. 租户,They had evicted their tenants for non-payment of rent.,4
tend,/tend/,v. 趋向,Women tend to live longer than men.,2
tendency,/ˈtendənsi/,n. 趋势,to display artistic tendencies,3
tender,/ˈtendə(r)/,adj. 投标,tender words,4
tennis,/ˈtenɪs/,n. 网球,to play tennis,1
tension,/ˈtenʃn/,n. 紧张,There is mounting tension along the border.,3
tent,/tent/,n. 帐篷,to put up/take down a tent,2
tenure,/ˈtenjə(r)/,n. 终身教职,his four-year tenure as president,4
term,/tɜːm/,n. 学期,a technical/legal/generic term,1
terminal,/ˈtɜːmɪnl/,adj. 终端,He has terminal lung cancer.,4
terminate,/ˈtɜːmɪneɪt/,v. 终止,Your contract of employment terminates in December.,4
terms,/tɜːmz/,n. 条款,peace terms,3
terrain,/təˈreɪn/,n. 地形,difficult/rough/mountainous terrain,4
terrible,/ˈterəbl/,adj. 糟糕的,a terrible experience,1
terribly,/ˈterəbli/,adv. 可怕,I'm terribly sorry—did I hurt you?,3
terrific,/təˈrɪfɪk/,adj. 了不起,I feel absolutely terrific today!,4
terrify,/ˈterɪfaɪ/,v. 吓坏,"terrify somebody, Flying terrifies her.",3
territory,/ˈterətri/,n. 领土,enemy/disputed/foreign territory,3
terror,/ˈterə(r)/,n. 恐怖,a feeling of sheer/pure terror,3
terrorism,/ˈterərɪzəm/,n. 恐怖主义,an act of terrorism,3
terrorist,/ˈterərɪst/,n. 恐怖分子,The terrorists are threatening to blow up the plane.,3
test,/test/,n. 测试,an IQ/a fitness test ,1
testify,/ˈtestɪfaɪ/,v. 作证,"testify against somebody/something, She refused to testify against her husband.",4
testimony,/ˈtestɪməni/,n. 见证,This increase in exports bears testimony to the successes of industry.,4
testing,/ˈtestɪŋ/,n. 测试,nuclear testing,3
text,/tekst/,n. 文本,a computer that can process text,1
textbook,/ˈtekstbʊk/,n. 教科书,a school/medical/history textbook,3
texture,/ˈtekstʃə(r)/,n. 质地,the soft texture of velvet,4
than,/ðən/,conj. 比,I'm older than her.,1
thank,/θæŋk/,v. 感谢,"thank somebody for something, I must write and thank Mary for the present.",1
thankfully,/ˈθæŋkfəli/,adv. 谢天谢地,"There was a fire in the building, but thankfully no one was hurt.",4
thanks,/θæŋks/,excl. 谢谢,"‘How are you?’ ‘Fine, thanks (= thanks for asking).’",1
that,/ðæt/,adv. 那,I can't walk that far (= as far as that).,2
the,/ðə/,这,There were three questions. The first two were relatively easy but the third one was hard.,1
theatre,/ˈθɪətə(r)/,n. 剧院,Broadway theatres,1
theatrical,/θiˈætrɪkl/,adj. 戏剧,a theatrical agent,4
theft,/θeft/,n. 盗窃,car theft,3
their,/ðeə(r)/,det. 他们的,Their parties are always fun.,1
theirs,/ðeəz/,pron. 他们的,Theirs are the children with very fair hair.,2
them,/ðəm/,pron. 他们,Tell them the news.,1
theme,/θiːm/,n. 主题,the central/main/key/major theme,2
themselves,/ðəmˈselvz/,pron. 他们自己,They seemed to be enjoying themselves.,1
then,/ðen/,adv. 然后,Life was harder then because neither of us had a job.,1
theology,/θiˈɒlədʒi/,n. 神学,a degree in theology,4
theoretical,/ˌθɪəˈretɪkl/,adj. 理论的,a theoretical approach,4
theory,/ˈθɪəri/,n. 理论,"theory of something, the theory of evolution/relativity",2
therapist,/ˈθerəpɪst/,n. 治疗师,a speech therapist,3
therapy,/ˈθerəpi/,n. 治疗,He is receiving therapy for cancer.,3
there,/ðeə(r)/,adv. 那里,There's a restaurant around the corner.,1
thereafter,/ˌðeərˈɑːftə(r)/,adv. 此后,She married at 17 and gave birth to her first child shortly thereafter.,4
thereby,/ˌðeəˈbaɪ/,adv. 从而,"Regular exercise strengthens the heart, thereby reducing the risk of heart attack.",4
therefore,/ˈðeəfɔː(r)/,adv. 所以,He's only 17 and therefore not eligible to vote.,2
thesis,/ˈθiːsɪs/,n. 论文,Students must submit a thesis on an agreed subject within four years.,3
they,/ðeɪ/,pron. 他们,‘Where are John and Liz?’ ‘They went for a walk.’,1
thick,/θɪk/,adj. 厚的,a thick slice of bread,1
thief,/θiːf/,n. 贼,a car/jewel thief,1
thin,/θɪn/,adj. 薄的,Cut the vegetables into thin strips.,1
thing,/θɪŋ/,n. 事物,Can you pass me that thing over there?,1
think,/θɪŋk/,v. 思考,"think (that)…, Do you really think (that) he'll win?",1
thinking,/ˈθɪŋkɪŋ/,n. 思维,I had to do some quick thinking.,1
third,/θɜːd/,n. 第三,He divided the money into thirds.,1
thirsty,/ˈθɜːsti/,adj. 渴,We were hungry and thirsty.,1
thirteen,/ˌθɜːˈtiːn/,num. 十三,,1
thirty,/ˈθɜːti/,num. 三十,,1
this,/ðɪs/,adv. 这,It's about this high (= as high as I am showing you with my hands).,2
thorough,/ˈθʌrə/,adj. 彻底,a thorough knowledge of the subject,3
thoroughly,/ˈθʌrəli/,adv. 彻底地,We thoroughly enjoyed ourselves.,3
though,/ðəʊ/,adv. 尽管,Our team lost. It was a good game though.,2
thought,/θɔːt/,n. 想法,"thought of doing something, I couldn't bear the thought of waiting any longer. ",1
thought-provoking,/ˈθɔːt prəvəʊkɪŋ/,adj. 发人深省,a brilliant and thought-provoking play,4
thoughtful,/ˈθɔːtfl/,adj. 周到,He looked thoughtful.,4
thousand,/ˈθaʊznd/,num. 千,There were thousands of people there.,1
thread,/θred/,n. 线,a needle and thread,4
threat,/θret/,n. 威胁,"threat against somebody/something, to make threats against somebody",3
threaten,/ˈθretn/,v. 威胁,"threaten somebody/something, They broke my windows and threatened me.",3
three,/θriː/,num. 三,There are only three cookies left.,1
threshold,/ˈθreʃhəʊld/,n. 临界点,He stepped across the threshold.,4
thrilled,/θrɪld/,adj. 激动,‘Are you pleased?’ ‘I'm thrilled.’,4
thrive,/θraɪv/,v. 蓬勃发展,New businesses thrive in this area.,4
throat,/θrəʊt/,n. 喉,a sore throat,2
through,/θruː/,adv. 通过,Put the coffee in the filter and let the water run through.,1
throughout,/θruːˈaʊt/,adv. 自始至终,They export their products to markets throughout the world.,2
throw,/θrəʊ/,v. 扔,Practise throwing and catching. ,1
thumb,/θʌm/,n. 拇指,She still sucks her thumb when she's worried.,3
Thursday,/ˈθɜːzdeɪ/,n. 周四,"It's Thursday today, isn't it?",1
thus,/ðʌs/,adv. 因此,Many scholars have argued thus.,3
ticket,/ˈtɪkɪt/,n. 票,a plane/bus/train ticket,1
tide,/taɪd/,n. 潮,the ebb and flow of the tide,4
tidy,/ˈtaɪdi/,adj. 整齐的,a tidy desk,1
tie,/taɪ/,n. 领带,He was dressed impeccably in a suit and tie. ,1
tight,/taɪt/,adj. 紧的,He kept a tight grip on her arm.,2
tighten,/ˈtaɪtn/,v. 收紧,"tighten something, to tighten a lid/screw/rope/knot",4
till,/tɪl/,conj. 直到,We're open till 6 o'clock.,2
timber,/ˈtɪmbə(r)/,n. 木材,the timber industry,4
time,/taɪm/,n. 时间,The world exists in time and space.,1
timely,/ˈtaɪmli/,adj. 及时,A nasty incident was prevented by the timely arrival of the police.,4
timing,/ˈtaɪmɪŋ/,n. 定时,The timing of the decision was a complete surprise.,3
tin,/tɪn/,n. 锡,Open the tin and drain the tuna. ,2
tiny,/ˈtaɪni/,adj. 微小的,a tiny baby,2
tip,/tɪp/,n. 提示,"tip on/for doing something, handy tips for buying a computer",1
tired,/ˈtaɪəd/,adj. 疲劳的,to be/look/feel tired,1
tissue,/ˈtɪʃuː/,n. 组织,a box of tissues,3
title,/ˈtaɪtl/,n. 标题,What's title of her new book? ,1
to,/tə/,到,I set out to buy food.,1
tobacco,/təˈbækəʊ/,n. 烟草,tobacco smoke,4
today,/təˈdeɪ/,adv. 今天,I've got a piano lesson later today.,1
toe,/təʊ/,n. 脚趾,the big/little toe (= the largest/smallest toe),2
together,/təˈɡeðə(r)/,adv. 一起,We grew up together.,1
toilet,/ˈtɔɪlət/,n. 洗手间,Have you flushed the toilet?,1
tolerance,/ˈtɒlərəns/,n. 宽容,She had no tolerance for jokes of any kind.,4
tolerate,/ˈtɒləreɪt/,v. 容忍,"tolerate something, Their relationship was tolerated but not encouraged.",4
toll,/təʊl/,n. 收费,motorway tolls,4
tomato,/təˈmɑːtəʊ/,n. 番茄,"a bacon, lettuce, and tomato sandwich",1
tomorrow,/təˈmɒrəʊ/,adv. 明天,I'm off now. See you tomorrow.,1
ton,/tʌn/,n. 吨,"(informal), What have you got in this bag? It weighs a ton (= is very heavy).",3
tone,/təʊn/,n. 语气,"speaking in hushed/low/clipped/measured, etc. tones",3
tongue,/tʌŋ/,n. 舌头,He clicked his tongue to attract their attention.,2
tonight,/təˈnaɪt/,adv. 今晚,Will you have dinner with me tonight?,1
tonne,/tʌn/,n. 公吨,a record grain harvest of 236m tonnes,3
too,/tuː/,adv. 也,He's far too young to go on his own.,1
tool,/tuːl/,n. 工具,garden tools,1
tooth,/tuːθ/,n. 齿,I've just had a tooth out at the dentist's.,1
top,/tɒp/,adj. 顶部,He lives on the top floor.,1
topic,/ˈtɒpɪk/,n. 话题,The main topic of conversation was Tom's new girlfriend.,1
torture,/ˈtɔːtʃə(r)/,n. 酷刑,Many of the refugees have suffered torture.,4
toss,/tɒs/,v. 折腾,"toss something + adv./prep., I tossed the book aside and got up.",4
total,/ˈtəʊtl/,adj. 全部的,Their total cost was $18 000. ,2
totally,/ˈtəʊtəli/,adv. 完全,They come from totally different cultures.,2
touch,/tʌtʃ/,n. 触碰,the sense of touch,2
tough,/tʌf/,adj. 艰难的,a tough childhood,3
tour,/tʊə(r)/,n. 旅游,a walking/sightseeing/bus tour,1
tourism,/ˈtʊərɪzəm/,n. 旅游,The area is heavily dependent on tourism.,1
tourist,/ˈtʊərɪst/,n. 游客,busloads of foreign tourists,1
tournament,/ˈtʊənəmənt/,n. 比赛,a golf/tennis/soccer/chess tournament,3
towards,/təˈwɔːdz/,prep. 向,They were heading towards the German border.,1
towel,/ˈtaʊəl/,n. 毛巾,Help yourself to a clean towel.,1
tower,/ˈtaʊə(r)/,n. 塔,a bell tower,1
town,/taʊn/,n. 镇,The nearest town is ten miles away.,1
toxic,/ˈtɒksɪk/,adj. 有毒的,toxic chemicals/fumes/gases/substances,4
toy,/tɔɪ/,adj. 玩具,a toy car,1
trace,/treɪs/,n. 痕迹,It's exciting to discover traces of earlier civilizations.,4
track,/træk/,n. 追踪,railway/railroad tracks,1
trade,/treɪd/,n. 贸易,international/foreign/global/world trade,2
trademark,/ˈtreɪdmɑːk/,n. 商标,‘Big Mac’ is McDonald's best-known trademark.,4
trading,/ˈtreɪdɪŋ/,n. 贸易,new laws on Sunday trading (= shops being open on Sundays),3
tradition,/trəˈdɪʃn/,n. 传统,religious/cultural/ancient traditions,1
traditional,/trəˈdɪʃənl/,adj. 传统的,traditional dress/music/art/culture/dance,1
traffic,/ˈtræfɪk/,n. 交通,There's always a lot of traffic at this time of day.,1
tragedy,/ˈtrædʒədi/,n. 悲剧,It's a tragedy that she died so young.,3
tragic,/ˈtrædʒɪk/,adj. 悲惨,He was killed in a tragic accident at the age of 24.,3
trail,/treɪl/,n. 踪迹,a trail of blood,4
trailer,/ˈtreɪlə(r)/,n. 拖车,a car towing a trailer with a boat on it,4
train,/treɪn/,n. 火车,to get on/off a train,1
trainer,/ˈtreɪnə(r)/,n. 教练员,a pair of trainers,1
training,/ˈtreɪnɪŋ/,n. 训练,staff training,1
trait,/treɪt/,n. 特征,personality traits,3
transaction,/trænˈzækʃn/,n. 交易,financial transactions between companies,4
transcript,/ˈtrænskrɪpt/,n. 成绩单,a transcript of the interview,4
transfer,/ˈtrænsfɜː(r)/,n. 转移,electronic data transfer,3
transform,/trænsˈfɔːm/,v. 转换,"transform something/somebody (into something), The photochemical reactions transform the light into electrical impulses.",3
transformation,/ˌtrænsfəˈmeɪʃn/,n. 转变,The way in which we work has undergone a complete transformation in the past decade.,4
transit,/ˈtrænzɪt/,n. 过境,The cost includes transit.,4
transition,/trænˈzɪʃn/,n. 过渡,"transition from something to something, the transition from school to full-time work",3
translate,/trænzˈleɪt/,v. 翻译,"translate something into something, He translated the letter into English.",2
translation,/trænzˈleɪʃn/,n. 翻译,an error in translation,2
transmission,/trænzˈmɪʃn/,n. 传播,the transmission of the disease,4
transmit,/trænzˈmɪt/,v. 发送,signals transmitted from a satellite,3
transparency,/trænsˈpærənsi/,n. 透明度,a need for greater transparency in legal documents,4
transparent,/trænsˈpærənt/,adj. 透明的,The insect's wings are almost transparent.,4
transport,/ˈtrænspɔːt/,n. 运输,air/freight/road transport,1
transportation,/ˌtrænspɔːˈteɪʃn/,n. 运输,"public transportation (= the system of buses, trains, etc. provided for people to travel from one place to another)",3
trap,/træp/,n. 陷阱,a fox with its leg in a trap,3
trauma,/ˈtrɔːmə/,n. 创伤,the effects of trauma and stress on the body,4
travel,/ˈtrævl/,n. 旅行,air/rail/space travel,1
traveller,/ˈtrævələ(r)/,n. 游客,She is a frequent traveller to Belgium.,1
treasure,/ˈtreʒə(r)/,n. 宝藏,buried treasure,3
treat,/triːt/,v. 对待,"treat somebody/something with something, to treat people with respect",2
treatment,/ˈtriːtmənt/,n. 治疗,The drug is used in the treatment of depression. ,2
treaty,/ˈtriːti/,n. 条约,the Treaty of Rome,4
tree,/triː/,n. 树,an oak/olive/apple tree,1
tremendous,/trəˈmendəs/,adj. 巨大的,a tremendous explosion,4
trend,/trend/,n. 趋势,social/economic/political/demographic trends,2
trial,/ˈtraɪəl/,n. 审判,a murder/criminal trial,3
tribal,/ˈtraɪbl/,adj. 部落的,tribal art,4
tribe,/traɪb/,n. 部落,They were a nomadic horse-riding tribe.,3
tribunal,/traɪˈbjuːnl/,n. 法庭,an international war crimes tribunal,4
tribute,/ˈtrɪbjuːt/,n. 贡,At her funeral her oldest friend paid tribute to her life and work.,4
trick,/trɪk/,n. 诡计,They had to think of a trick to get past the guards.,2
trigger,/ˈtrɪɡə(r)/,n. 扳机,to pull/squeeze the trigger,4
trillion,/ˈtrɪljən/,num. 兆,,3
trio,/ˈtriːəʊ/,n. 三人组,A trio of English runners featured in the women’s 1 500 metres.,4
trip,/trɪp/,n. 旅行,Did you have a good trip?,1
triumph,/ˈtraɪʌmf/,n. 胜利,one of the greatest triumphs of modern science,4
troop,/truːp/,n. 部队,They announced the withdrawal of 12 000 troops from the area.,3
trophy,/ˈtrəʊfi/,n. 杯,a trophy cabinet,4
tropical,/ˈtrɒpɪkl/,adj. 热带,tropical fish/birds/fruit,3
trouble,/ˈtrʌbl/,n. 麻烦,We have trouble getting staff.,1
troubled,/ˈtrʌbld/,adj. 陷入困境的,She looked into his troubled face.,4
trousers,/ˈtraʊzəz/,n. 裤子,a pair of grey trousers,1
truck,/trʌk/,n. 卡车,a truck driver,1
true,/truː/,adj. 真的,Indicate whether the following statements are true or false.,1
truly,/ˈtruːli/,adv. 确实,She truly believes that none of this is her fault.,3
trust,/trʌst/,n. 相信,Our partnership is based on trust.,3
trustee,/trʌˈstiː/,n. 受托人,The bank will act as trustees for the estate until the child is 18.,4
truth,/truːθ/,n. 真相,Do you think she's telling the truth?,2
try,/traɪ/,n. 尝试,I doubt they'll be able to help but it's worth a try (= worth asking them).,3
tsunami,/tsuːˈnɑːmi/,n. 海啸,A tsunami early warning system was set up in Hawaii.,3
tube,/tjuːb/,n. 管子,He had to be fed through a feeding tube for several months.,2
Tuesday,/ˈtjuːzdeɪ/,n. 周二,"It's Tuesday today, isn't it?",1
tuition,/tjuˈɪʃn/,n. 学费,She received private tuition in French.,4
tune,/tjuːn/,n. 调,to sing/whistle a tune,3
tunnel,/ˈtʌnl/,n. 隧道,a railway/railroad tunnel ,3
turn,/tɜːn/,n. 转动,"When it's your turn, take another card.",1
turnout,/ˈtɜːnaʊt/,n. 结果发现,This year's festival attracted a record turnout.,4
turnover,/ˈtɜːnəʊvə(r)/,n. 周转,an annual turnover of $75 million,4
TV,/ˌtiː ˈviː/,n. 电视,We spent the evening watching TV.,1
twelve,/twelv/,num. 十二,There are only twelve of these rare animals left.,1
twenty,/ˈtwenti/,num. 二十,,1
twice,/twaɪs/,adv. 两次,I don't know him well; I've only met him twice.,1
twin,/twɪn/,adj. 双,a twin brother/sister,1
